Date,Open,High,Low,Close,Adj Close,Volume
2017-04-28,0.200900,0.206900,0.198000,0.204800,0.204800,73049352
2017-05-02,0.205300,0.214300,0.204900,0.213700,0.213700,105235623
2017-05-03,0.212000,0.216700,0.210200,0.214700,0.214700,88938170
2017-05-04,0.215100,0.226000,0.213300,0.226000,0.226000,156357960
2017-05-05,0.225000,0.231000,0.220100,0.230000,0.230000,120729301
2017-05-08,0.235000,0.235600,0.224000,0.224600,0.224600,132202160
2017-05-09,0.230000,0.237500,0.225100,0.226500,0.226500,196836794
2017-05-10,0.228300,0.228500,0.220600,0.226000,0.226000,95005938
2017-05-11,0.227200,0.228000,0.222100,0.225300,0.225300,59066525
2017-05-12,0.226800,0.228000,0.219000,0.220000,0.220000,79652280
2017-05-15,0.221800,0.222100,0.214200,0.220700,0.220700,60134204
2017-05-16,0.220000,0.222100,0.211000,0.212900,0.212900,83593842
2017-05-17,0.211000,0.217900,0.207000,0.210300,0.210300,75915642
2017-05-18,0.208200,0.217500,0.201600,0.215100,0.215100,88529930
2017-05-19,0.216400,0.218400,0.211700,0.214300,0.214300,58616848
2017-05-22,0.215100,0.217600,0.208000,0.213000,0.213000,56054214
2017-05-23,0.212900,0.218100,0.211000,0.218000,0.218000,67991791
2017-05-24,0.218000,0.223500,0.216900,0.222900,0.222900,105619578
2017-05-25,0.224500,0.230300,0.223200,0.230200,0.230200,144492133
2017-05-26,0.230400,0.231900,0.224400,0.227700,0.227700,103685739
2017-05-29,0.228500,0.233500,0.227200,0.228000,0.228000,42238221
2017-05-30,0.227200,0.234500,0.225100,0.231900,0.231900,89966588
2017-05-31,0.232000,0.234000,0.229100,0.230000,0.230000,90279861
2017-06-01,0.230000,0.231800,0.228100,0.231200,0.231200,66176215
2017-06-02,0.232700,0.240300,0.232000,0.237500,0.237500,164816901
2017-06-05,0.238200,0.239100,0.234200,0.236400,0.236400,42342329
2017-06-06,0.235900,0.236900,0.232100,0.233500,0.233500,57149701
2017-06-07,0.233000,0.234400,0.227000,0.227000,0.227000,92756188
2017-06-08,0.227000,0.228300,0.218100,0.224500,0.224500,132600918
2017-06-09,0.226400,0.236000,0.225600,0.234800,0.234800,156518829
2017-06-12,0.235300,0.240600,0.233000,0.238000,0.238000,145086063
2017-06-13,0.238700,0.240300,0.235600,0.239000,0.239000,73123553
2017-06-14,0.239200,0.245600,0.238500,0.238500,0.238500,147366514
2017-06-15,0.239000,0.240800,0.234000,0.238200,0.238200,67893216
2017-06-16,0.239500,0.241800,0.235100,0.237500,0.237500,81486687
2017-06-19,0.239800,0.243300,0.237000,0.242900,0.242900,79623012
2017-06-20,0.244000,0.244200,0.239600,0.240000,0.240000,69622048
2017-06-21,0.239800,0.240000,0.236200,0.237000,0.237000,58980522
2017-06-22,0.237600,0.238000,0.228500,0.236500,0.236500,121796310
2017-06-23,0.236100,0.239400,0.230500,0.231400,0.231400,59314790
2017-06-26,0.232700,0.239500,0.232000,0.236200,0.236200,59031338
2017-06-27,0.237100,0.237500,0.232600,0.235500,0.235500,44902605
2017-06-28,0.234700,0.238800,0.232300,0.238000,0.238000,75792903
2017-06-29,0.238400,0.241900,0.233000,0.233200,0.233200,96538726
2017-06-30,0.234200,0.238000,0.233300,0.235700,0.235700,56270973
2017-07-03,0.237700,0.241500,0.237300,0.240500,0.240500,87198488
2017-07-04,0.240400,0.242400,0.238600,0.242000,0.242000,65714389
2017-07-05,0.242100,0.244000,0.240900,0.242100,0.242100,64376886
2017-07-06,0.242100,0.243100,0.239100,0.240500,0.240500,46195547
2017-07-07,0.240000,0.240200,0.238200,0.238800,0.238800,25012749
2017-07-10,0.239700,0.242500,0.239000,0.239200,0.239200,53549707
2017-07-11,0.240000,0.242400,0.240000,0.241900,0.241900,50500271
2017-07-12,0.242000,0.245000,0.241800,0.243500,0.243500,74190268
2017-07-13,0.244000,0.259000,0.244000,0.258800,0.258800,126520949
2017-07-14,0.259600,0.260300,0.249500,0.251400,0.251400,105864728
2017-07-17,0.252500,0.252500,0.244000,0.244500,0.244500,87878082
2017-07-18,0.244900,0.251600,0.243500,0.251000,0.251000,65846738
2017-07-19,0.251200,0.253500,0.246200,0.246200,0.246200,95197713
2017-07-20,0.247000,0.253000,0.246300,0.251000,0.251000,78549032
2017-07-21,0.250400,0.252300,0.249000,0.249300,0.249300,40228815
2017-07-24,0.249200,0.253500,0.249200,0.251200,0.251200,49132248
2017-07-25,0.251400,0.254600,0.250000,0.253500,0.253500,60607601
2017-07-26,0.254000,0.256100,0.249400,0.250500,0.250500,67937276
2017-07-27,0.251500,0.253800,0.251100,0.252900,0.252900,29976613
2017-07-28,0.254500,0.255500,0.241100,0.241100,0.241100,128418546
2017-07-31,0.242800,0.245900,0.234100,0.241400,0.241400,87646876
2017-08-01,0.241700,0.246000,0.241100,0.245000,0.245000,57030360
2017-08-02,0.244800,0.245400,0.238300,0.238500,0.238500,67043108
2017-08-03,0.238000,0.240000,0.229200,0.229200,0.229200,109870903
2017-08-04,0.229200,0.241000,0.222200,0.236700,0.236700,96284397
2017-08-07,0.237100,0.239500,0.235800,0.238600,0.238600,38724141
2017-08-08,0.238500,0.240300,0.236600,0.238000,0.238000,38172174
2017-08-09,0.236900,0.236900,0.231400,0.234000,0.234000,40341273
2017-08-10,0.232800,0.237500,0.231000,0.235500,0.235500,32123301
2017-08-11,0.234200,0.234500,0.231000,0.232000,0.232000,35238940
2017-08-14,0.233400,0.240800,0.233000,0.240400,0.240400,50184174
2017-08-15,0.240500,0.243000,0.238700,0.238800,0.238800,32441645
2017-08-16,0.239800,0.241300,0.237700,0.237700,0.237700,32921884
2017-08-17,0.237800,0.239000,0.232400,0.234900,0.234900,38481858
2017-08-18,0.232900,0.233500,0.229300,0.230000,0.230000,43907133
2017-08-21,0.230000,0.230100,0.227000,0.228500,0.228500,25049488
2017-08-22,0.230000,0.232500,0.226600,0.227000,0.227000,29086791
2017-08-23,0.227200,0.228900,0.224400,0.226300,0.226300,29890591
2017-08-24,0.226600,0.231400,0.224700,0.230000,0.230000,40854083
2017-08-25,0.230200,0.231500,0.225800,0.225800,0.225800,30020879
2017-08-28,0.225100,0.225100,0.220700,0.222000,0.222000,31464555
2017-08-29,0.220000,0.220300,0.211500,0.220000,0.220000,84345585
2017-08-30,0.220300,0.223300,0.216300,0.216300,0.216300,25607022
2017-08-31,0.216300,0.226000,0.214100,0.223400,0.223400,58215909
2017-09-01,0.224500,0.229900,0.224500,0.226500,0.226500,55045871
2017-09-04,0.225000,0.225200,0.221400,0.223000,0.223000,29278248
2017-09-05,0.224000,0.226500,0.213500,0.215100,0.215100,61104521
2017-09-06,0.215000,0.218500,0.211600,0.214800,0.214800,63036225
2017-09-07,0.217300,0.217300,0.197600,0.199500,0.199500,156031159
2017-09-08,0.199100,0.212000,0.185500,0.211700,0.211700,228631473
2017-09-11,0.212400,0.216900,0.200500,0.201900,0.201900,107571416
2017-09-12,0.205000,0.213200,0.204700,0.210000,0.210000,88579594
2017-09-13,0.210200,0.214500,0.208800,0.213800,0.213800,52400479
2017-09-14,0.213200,0.216700,0.210700,0.215700,0.215700,59657468
2017-09-15,0.214000,0.216000,0.208600,0.214500,0.214500,111796781
2017-09-18,0.222100,0.230000,0.222100,0.226500,0.226500,147833694
2017-09-19,0.228500,0.234000,0.228500,0.232200,0.232200,112791418
2017-09-20,0.232000,0.233800,0.225500,0.228000,0.228000,86156177
2017-09-21,0.229600,0.233600,0.227400,0.231000,0.231000,85589911
2017-09-22,0.230100,0.233400,0.228100,0.231200,0.231200,69267057
2017-09-25,0.230100,0.230800,0.226300,0.227400,0.227400,103714389
2017-09-26,0.226900,0.230600,0.225500,0.230400,0.230400,45174542
2017-09-27,0.232000,0.240000,0.230700,0.239800,0.239800,106565816
2017-09-28,0.240000,0.246000,0.239500,0.244000,0.244000,119389330
2017-09-29,0.245900,0.247500,0.242500,0.245300,0.245300,105256551
2017-10-02,0.246500,0.249000,0.243100,0.246000,0.246000,81299709
2017-10-03,0.247100,0.248100,0.243500,0.245000,0.245000,96076504
2017-10-04,0.245900,0.246000,0.237500,0.240100,0.240100,133190081
2017-10-05,0.240000,0.244900,0.238500,0.244900,0.244900,80312211
2017-10-06,0.246200,0.248100,0.243800,0.244200,0.244200,85219272
2017-10-09,0.243900,0.249900,0.243900,0.247900,0.247900,71931445
2017-10-10,0.247500,0.249800,0.240500,0.241500,0.241500,104497297
2017-10-11,0.244600,0.247300,0.243800,0.246500,0.246500,81143927
2017-10-12,0.247000,0.248200,0.244800,0.246200,0.246200,73458233
2017-10-13,0.247000,0.251800,0.245100,0.251300,0.251300,117526571
2017-10-16,0.251000,0.257200,0.250200,0.257200,0.257200,101311905
2017-10-17,0.258000,0.259700,0.253100,0.256000,0.256000,72987979
2017-10-18,0.256000,0.257200,0.250600,0.257100,0.257100,76755750
2017-10-19,0.257000,0.258200,0.254000,0.256900,0.256900,49905949
2017-10-20,0.257400,0.259900,0.256300,0.259200,0.259200,88715456
2017-10-23,0.259500,0.260000,0.254500,0.255000,0.255000,52336681
2017-10-24,0.255000,0.256500,0.252100,0.253100,0.253100,37951294
2017-10-25,0.252500,0.255100,0.249000,0.249700,0.249700,37943483
2017-10-26,0.249000,0.252200,0.245300,0.249900,0.249900,63200222
2017-10-27,0.250600,0.252400,0.246800,0.247500,0.247500,29733344
2017-10-30,0.249500,0.257800,0.247500,0.255000,0.255000,67210883
2017-10-31,0.258000,0.258200,0.256300,0.256500,0.256500,38930984
2017-11-01,0.257800,0.257800,0.253600,0.253800,0.253800,38155831
2017-11-02,0.254500,0.257400,0.254100,0.255600,0.255600,27315093
2017-11-03,0.255700,0.255900,0.250200,0.254500,0.254500,41638099
2017-11-06,0.254000,0.255300,0.250200,0.255200,0.255200,23304032
2017-11-07,0.256500,0.257400,0.252500,0.252700,0.252700,28278504
2017-11-08,0.252700,0.252900,0.243500,0.246400,0.246400,57108205
2017-11-09,0.246500,0.251700,0.244000,0.245300,0.245300,38146163
2017-11-10,0.247900,0.252500,0.246600,0.249500,0.249500,38023585
2017-11-13,0.250900,0.252800,0.248300,0.252300,0.252300,41427115
2017-11-14,0.253200,0.257700,0.249400,0.250900,0.250900,78124439
2017-11-15,0.249900,0.254000,0.245500,0.252200,0.252200,44337573
2017-11-16,0.253600,0.255300,0.251800,0.253700,0.253700,39134399
2017-11-17,0.253800,0.254900,0.250900,0.254000,0.254000,33683165
2017-11-20,0.254000,0.255000,0.251000,0.251700,0.251700,33266152
2017-11-21,0.251700,0.252800,0.247500,0.250800,0.250800,40259673
2017-11-22,0.251000,0.253700,0.248200,0.249000,0.249000,60968350
2017-11-23,0.248700,0.250200,0.247600,0.249000,0.249000,18599416
