Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,0.274000,0.274000,0.267700,0.268700,0.268700,46710116
2018-03-29,0.268300,0.274900,0.268300,0.272000,0.272000,35606544
2018-04-03,0.270000,0.270400,0.264400,0.266000,0.266000,41194481
2018-04-04,0.265000,0.266400,0.259900,0.263400,0.263400,53340634
2018-04-05,0.267100,0.276900,0.267100,0.276900,0.276900,51706825
2018-04-06,0.275000,0.276700,0.270400,0.270800,0.270800,40613055
2018-04-09,0.274100,0.275700,0.272200,0.272600,0.272600,24264969
2018-04-10,0.274400,0.276500,0.272800,0.275500,0.275500,26925816
2018-04-11,0.275000,0.277000,0.272900,0.273300,0.273300,27849802
2018-04-12,0.273100,0.283700,0.273100,0.281600,0.281600,49860922
2018-04-13,0.280500,0.284800,0.279100,0.280000,0.280000,34661288
2018-04-16,0.281500,0.283400,0.278700,0.281100,0.281100,34320481
2018-04-17,0.282800,0.283000,0.279400,0.280800,0.280800,20851171
2018-04-18,0.280800,0.284300,0.280600,0.283300,0.283300,29170014
2018-04-19,0.283000,0.285500,0.280000,0.285400,0.285400,34519602
2018-04-20,0.284000,0.288800,0.282800,0.288800,0.288800,32500361
2018-04-23,0.288900,0.290900,0.285600,0.290900,0.290900,33612321
2018-04-24,0.290000,0.294100,0.288600,0.291800,0.291800,40108502
2018-04-25,0.290800,0.291700,0.285300,0.288500,0.288500,30497684
2018-04-26,0.288100,0.289300,0.279500,0.279500,0.279500,40035281
2018-04-27,0.280600,0.284200,0.280400,0.281800,0.281800,20406700
